"Path 1","Path 2","Path 3","Path 4","Path 5","Path 6","URLs","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"","","","","","lib-3459d422ad581283.js","1","https://www.bidayalab.com/_next/static/chunks/lib-3459d422ad581283.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.051","Thu, 26 Feb 2026 13:35:31 GMT","","","","","1.1","","","","","","https://www.bidayalab.com/_next/static/chunks/lib-3459d422ad581283.js","2026-02-26 13:35:50"
"","","","","","main-app-00089f80915967f1.js","1","https://www.bidayalab.com/_next/static/chunks/main-app-00089f80915967f1.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.148","Wed, 18 Feb 2026 17:36:07 GMT","","","","","1.1","","","","","","https://www.bidayalab.com/_next/static/chunks/main-app-00089f80915967f1.js","2026-02-26 13:35:50"
"","","","","","framework-8f7fa9117494a06e.js","1","https://www.bidayalab.com/_next/static/chunks/framework-8f7fa9117494a06e.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.174","Tue, 17 Feb 2026 17:57:21 GMT","","","","","1.1","","","","","","https://www.bidayalab.com/_next/static/chunks/framework-8f7fa9117494a06e.js","2026-02-26 13:35:50"
"","","","","","polyfills-42372ed130431b0a.js","1","https://www.bidayalab.com/_next/static/chunks/polyfills-42372ed130431b0a.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.300","Thu, 26 Feb 2026 13:35:46 GMT","","","","","1.1","","","","","","https://www.bidayalab.com/_next/static/chunks/polyfills-42372ed130431b0a.js","2026-02-26 13:35:50"
"","","","","css/","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","5302df6d443c643d.css","1","https://www.bidayalab.com/_next/static/css/5302df6d443c643d.css","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.396","Thu, 26 Feb 2026 13:35:31 GMT","","","","","1.1","","","","","","https://www.bidayalab.com/_next/static/css/5302df6d443c643d.css","2026-02-26 13:35:49"
"","","","","","37ac74ccdeb06e7e.css","1","https://www.bidayalab.com/_next/static/css/37ac74ccdeb06e7e.css","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.147","Wed, 18 Feb 2026 17:36:07 GMT","","","","","1.1","","","","","","https://www.bidayalab.com/_next/static/css/37ac74ccdeb06e7e.css","2026-02-26 13:35:50"
"","","","image?url=%2Fassets%2Ficons%2Fnewlogo.png&w=384&q=75","","","1","https://www.bidayalab.com/_next/image?url=%2Fassets%2Ficons%2Fnewlogo.png&w=384&q=75","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","8169","8169","8169","3.129","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.349","Mon, 09 Feb 2026 04:38:14 GMT","","","","","1.1","","","","","","https://www.bidayalab.com/_next/image?url=%2Fassets%2Ficons%2Fnewlogo.png&w=384&q=75","2026-02-26 13:35:49"
"","","","image?url=%2Fassets%2Fimages%2Fservices%2Fweb-development.webp&w=3840&q=75","","","1","https://www.bidayalab.com/_next/image?url=%2Fassets%2Fimages%2Fservices%2Fweb-development.webp&w=3840&q=75","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","291943","291943","291943","111.838","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.455","Tue, 10 Feb 2026 12:15:17 GMT","","","","","1.1","","","","","","https://www.bidayalab.com/_next/image?url=%2Fassets%2Fimages%2Fservices%2Fweb-development.webp&w=3840&q=75","2026-02-26 13:35:49"
"","","","image?url=%2Fassets%2Fimages%2Fservices%2Fai-automation.webp&w=3840&q=75","","","1","https://www.bidayalab.com/_next/image?url=%2Fassets%2Fimages%2Fservices%2Fai-automation.webp&w=3840&q=75","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","289544","289544","289544","110.919","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.747","Tue, 10 Feb 2026 12:15:17 GMT","","","","","1.1","","","","","","https://www.bidayalab.com/_next/image?url=%2Fassets%2Fimages%2Fservices%2Fai-automation.webp&w=3840&q=75","2026-02-26 13:35:49"
"","","","image?url=%2Fassets%2Ficons%2Fnewlogo.png&w=640&q=75","","","1","https://www.bidayalab.com/_next/image?url=%2Fassets%2Ficons%2Fnewlogo.png&w=640&q=75","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","17674","17674","17674","6.771","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.329","Tue, 10 Feb 2026 16:28:59 GMT","","","","","1.1","","","","","","https://www.bidayalab.com/_next/image?url=%2Fassets%2Ficons%2Fnewlogo.png&w=640&q=75","2026-02-26 13:35:49"
"","","","image?url=%2Ftestimonials%2Favatar-1.webp&w=3840&q=75","","","1","https://www.bidayalab.com/_next/image?url=%2Ftestimonials%2Favatar-1.webp&w=3840&q=75","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","50115","50115","50115","19.198","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.565","Wed, 11 Feb 2026 02:23:54 GMT","","","","","1.1","","","","","","https://www.bidayalab.com/_next/image?url=%2Ftestimonials%2Favatar-1.webp&w=3840&q=75","2026-02-26 13:35:50"
"","","","image?url=%2Fassets%2Fimages%2Fservices%2Fvisual-storytelling.webp&w=3840&q=75","","","1","https://www.bidayalab.com/_next/image?url=%2Fassets%2Fimages%2Fservices%2Fvisual-storytelling.webp&w=3840&q=75","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","315809","315809","315809","120.980","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.465","Tue, 10 Feb 2026 12:15:41 GMT","","","","","1.1","","","","","","https://www.bidayalab.com/_next/image?url=%2Fassets%2Fimages%2Fservices%2Fvisual-storytelling.webp&w=3840&q=75","2026-02-26 13:35:50"
"","","contact","","","","1","https://www.bidayalab.com/contact","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Let's Build Something Amazing Together | Contact BidayaLab","58","545","Ready to scale your business? Let's talk about AI automation, web development, or visual storytelling. We respond within 24 hours.","130","804","contact digital agency,hire AI automation agency,web development consultation,digital transformation partner,business automation quote,startup digital services","159","Your Strategic Partner for Digital Transformation.","50","Start Now","9","Let's Build The Future.","23","","0","","","","","https://bidayalab.com/contact","","","","","","41627","10298","10298","3.945","","130","26","5.000","82.669","Easy","1.883","1","0","","3","1","0","50.000","1","1","0","3","3","0","","","","","9390024b956c4afe24ebeef5e95f9be7","0.555","","","","","en","1.1","","","","","","https://www.bidayalab.com/contact","2026-02-26 13:35:49"
"","","home","","","","1","https://www.bidayalab.com/home","text/html","308","Permanent Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","0","","2","2","0","100.000","0","0","0","0","0","0","","","","","","0.146","","https://www.bidayalab.com/","HTTP Redirect","","","1.1","","","","","","https://www.bidayalab.com/home","2026-02-26 13:35:50"
"","bidayalab.com/","","","","","2","https://bidayalab.com/","text/html","307","Temporary Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.149","","https://www.bidayalab.com/","HTTP Redirect","","","1.1","","","","","","https://bidayalab.com/","2026-02-26 13:35:50"
"","","contact","","","","1","https://bidayalab.com/contact","text/html","307","Temporary Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.194","","https://www.bidayalab.com/contact","HTTP Redirect","","","1.1","","","","","","https://bidayalab.com/contact","2026-02-26 13:35:50"
